discipline,discipline_cn,paper_n,country_cn,discipline_code,discipline_category
0803 Optical Engineering,光学工程,116,捷克,08,工学
0817 Chemical Engineering and Technology,化学工程与技术,108,捷克,08,工学
1004 Public Health and Preventive Medicine,公共卫生与预防医学,104,捷克,10,医学
0814 Civil Engineering,土木工程,100,捷克,08,工学
1400 Cross-field,,95,捷克,14,跨学科
0802 Mechanical Engineering,机械工程,92,捷克,08,工学
0810 Information and Communication Engineering,信息与通信工程,87,捷克,08,工学
0836 Biotechnology and Bioengineering,生物工程,87,捷克,08,工学
1007 Pharmaceutical Science,药学,87,捷克,10,医学
0806 Metallurgical Engineering,冶金工程,85,捷克,08,工学
1201 Management Science and Engineering,管理科学与工程,83,捷克,12,管理学
0705 Geography,地理学,82,捷克,07,理学
0401 Education,教育学,81,捷克,04,教育学
0709 Geology,地质学,79,捷克,07,理学
0832 Food Science and Engineering,食品科学与工程,78,捷克,08,工学
0835 Software Engineering,软件工程,76,捷克,08,工学
0811 Control Science and Engineering,控制科学与工程,75,捷克,08,工学
0801 Mechanics,力学,74,捷克,08,工学
0816 Surveying and Mapping,测绘科学与技术,74,捷克,08,工学
0831 Biomedical Engineering,生物医学工程,73,捷克,08,工学
0825 Aerospace Science and Technology,航空宇航科学与技术,69,捷克,08,工学
0706 Atmospheric Science,大气科学,68,捷克,07,理学
0815 Hydraulic Engineering,水利工程,66,捷克,08,工学
1010 Medical Technology,医学技术,65,捷克,10,医学
0714 Statistics,统计学,59,捷克,07,理学
0901 Crop Science,作物学,59,捷克,09,农学
1009 Special Medicine,特种医学,58,捷克,10,医学
0807 Power Engineering and Engineering Thermophysics,动力工程及工程热物理,57,捷克,08,工学
0833 Urban and Rural Planning,城乡规划学,56,捷克,08,工学
0823 Transportation Engineering,交通运输工程,55,捷克,08,工学
1202 Business Administration,工商管理,55,捷克,12,管理学
0402 Psychology,心理学,51,捷克,04,教育学
0824 Naval Architecture and Ocean Engineering,船舶与海洋工程,50,捷克,08,工学
0903 Agricultural Resource and Environment Sciences,农业资源与环境,48,捷克,09,农学
0303 Sociology,社会学,45,捷克,03,法学
0828 Agricultural Engineering,农业工程,45,捷克,08,工学
0907 Forestry,林学,45,捷克,09,农学
0819 Mining Engineering,矿业工程,44,捷克,08,工学
0818 Geological Resources and Geological Engineering,地质资源与地质工程,43,捷克,08,工学
0813 Architecture,建筑学,41,捷克,08,工学
0905 Animal Science,畜牧学,41,捷克,09,农学
0707 Marine Science,海洋科学,36,捷克,07,理学
0809 Electronic Science and Technology,电子科学与技术,34,捷克,08,工学
0908 Fisheries,水产,33,捷克,09,农学
1204 Public Administration,公共管理,32,捷克,12,管理学
1003 Stomatology,口腔医学,29,捷克,10,医学
0906 Veterinary Medicine,兽医学,27,捷克,09,农学
0712 History of Science and Technology,科学技术史,26,捷克,07,理学
0904 Plant Protection,植物保护,24,捷克,09,农学
0821 Textile Science and Engineering,纺织科学与工程,22,捷克,08,工学
0826 Armament Science and Technology,兵器科学与技术,22,捷克,08,工学
0301 Law,法学,21,捷克,03,法学
0822 Light Industry Technology and Engineering,轻工技术与工程,21,捷克,08,工学
0601 Archaeology,考古学,20,捷克,06,历史学
0711 Systems Science,系统科学,20,捷克,07,理学
1205 Library and Information Science & Archive Management,图书情报与档案管理,20,捷克,12,管理学
0202 Applied Economics,应用经济学,18,捷克,02,经济学
0808 Electrical Engineering,电气工程,18,捷克,08,工学
0302 Political Science,政治学,16,捷克,03,法学
0902 Horticulture,园艺学,15,捷克,09,农学
1008 Chinese Materia Medica,中药学,14,捷克,10,医学
1203 Economics and Management of Agriculture and Forestry,农林经济管理,14,捷克,12,管理学
0201 Theoretical Economics,理论经济学,12,捷克,02,经济学
0403 Physical Education and Sport Science,体育学,12,捷克,04,教育学
0503 Journalism and Communication,新闻传播学,12,捷克,05,文学
0837 Safety Science and Engineering,安全科学与工程,12,捷克,08,工学
0603 World History,世界史,10,捷克,06,历史学
0101 Philosophy,哲学,9,捷克,01,哲学
1302 Music and Dance,音乐与舞蹈学,9,捷克,13,艺术学
0834 Landscape Architecture,风景园林学,5,捷克,08,工学
0829 Forestry Engineering,林业工程,3,捷克,08,工学
0909 Grassland Science,草学,3,捷克,09,农学
0304 Ethnology,民族学,1,捷克,03,法学
1305 Design,设计学,1,捷克,13,艺术学
0702 Physics,物理学,1047,斯洛伐克,07,理学
0704 Astronomy,天文学,255,斯洛伐克,07,理学
0827 Nuclear Science and Technology,核科学与技术,130,斯洛伐克,08,工学
0710 Biology,生物学,107,斯洛伐克,07,理学
0805 Materials Science and Engineering,材料科学与工程,106,斯洛伐克,08,工学
0701 Mathematics,数学,103,斯洛伐克,07,理学
1002 Clinical Medicine,临床医学,103,斯洛伐克,10,医学
0804 Instrumentation Science and Technology,仪器科学与技术,86,斯洛伐克,08,工学
0703 Chemistry,化学,85,斯洛伐克,07,理学
0812 Computer Science and Technology,计算机科学与技术,68,斯洛伐克,08,工学
0830 Environmental Science and Engineering,环境科学与工程,61,斯洛伐克,08,工学
1004 Public Health and Preventive Medicine,公共卫生与预防医学,48,斯洛伐克,10,医学
1001 Basic Medicine,基础医学,43,斯洛伐克,10,医学
0708 Geophysics,地球物理学,38,斯洛伐克,07,理学
0820 Oil and Natural Gas Engineering,石油与天然气工程,36,斯洛伐克,08,工学
0803 Optical Engineering,光学工程,34,斯洛伐克,08,工学
0814 Civil Engineering,土木工程,30,斯洛伐克,08,工学
0709 Geology,地质学,25,斯洛伐克,07,理学
0713 Ecology,生态学,25,斯洛伐克,07,理学
1201 Management Science and Engineering,管理科学与工程,25,斯洛伐克,12,管理学
0801 Mechanics,力学,24,斯洛伐克,08,工学
0802 Mechanical Engineering,机械工程,24,斯洛伐克,08,工学
0806 Metallurgical Engineering,冶金工程,24,斯洛伐克,08,工学
0807 Power Engineering and Engineering Thermophysics,动力工程及工程热物理,23,斯洛伐克,08,工学
0402 Psychology,心理学,22,斯洛伐克,04,教育学
0811 Control Science and Engineering,控制科学与工程,22,斯洛伐克,08,工学
0706 Atmospheric Science,大气科学,20,斯洛伐克,07,理学
0714 Statistics,统计学,19,斯洛伐克,07,理学
0401 Education,教育学,18,斯洛伐克,04,教育学
0810 Information and Communication Engineering,信息与通信工程,18,斯洛伐克,08,工学
1010 Medical Technology,医学技术,18,斯洛伐克,10,医学
0835 Software Engineering,软件工程,16,斯洛伐克,08,工学
1400 Cross-field,,16,斯洛伐克,14,跨学科
1009 Special Medicine,特种医学,15,斯洛伐克,10,医学
0712 History of Science and Technology,科学技术史,14,斯洛伐克,07,理学
0831 Biomedical Engineering,生物医学工程,12,斯洛伐克,08,工学
0816 Surveying and Mapping,测绘科学与技术,11,斯洛伐克,08,工学
0823 Transportation Engineering,交通运输工程,11,斯洛伐克,08,工学
0832 Food Science and Engineering,食品科学与工程,11,斯洛伐克,08,工学
0808 Electrical Engineering,电气工程,10,斯洛伐克,08,工学
0833 Urban and Rural Planning,城乡规划学,10,斯洛伐克,08,工学
0836 Biotechnology and Bioengineering,生物工程,10,斯洛伐克,08,工学
0303 Sociology,社会学,9,斯洛伐克,03,法学
0815 Hydraulic Engineering,水利工程,9,斯洛伐克,08,工学
0817 Chemical Engineering and Technology,化学工程与技术,9,斯洛伐克,08,工学
0825 Aerospace Science and Technology,航空宇航科学与技术,9,斯洛伐克,08,工学
1007 Pharmaceutical Science,药学,9,斯洛伐克,10,医学
0711 Systems Science,系统科学,8,斯洛伐克,07,理学
0819 Mining Engineering,矿业工程,8,斯洛伐克,08,工学
1003 Stomatology,口腔医学,8,斯洛伐克,10,医学
0705 Geography,地理学,7,斯洛伐克,07,理学
0813 Architecture,建筑学,7,斯洛伐克,08,工学
0824 Naval Architecture and Ocean Engineering,船舶与海洋工程,7,斯洛伐克,08,工学
0809 Electronic Science and Technology,电子科学与技术,6,斯洛伐克,08,工学
0818 Geological Resources and Geological Engineering,地质资源与地质工程,6,斯洛伐克,08,工学
1202 Business Administration,工商管理,6,斯洛伐克,12,管理学
0202 Applied Economics,应用经济学,5,斯洛伐克,02,经济学
0828 Agricultural Engineering,农业工程,5,斯洛伐克,08,工学
1204 Public Administration,公共管理,5,斯洛伐克,12,管理学
0101 Philosophy,哲学,4,斯洛伐克,01,哲学
0837 Safety Science and Engineering,安全科学与工程,4,斯洛伐克,08,工学
0201 Theoretical Economics,理论经济学,3,斯洛伐克,02,经济学
0302 Political Science,政治学,3,斯洛伐克,03,法学
0503 Journalism and Communication,新闻传播学,3,斯洛伐克,05,文学
0826 Armament Science and Technology,兵器科学与技术,3,斯洛伐克,08,工学
0901 Crop Science,作物学,3,斯洛伐克,09,农学
0301 Law,法学,2,斯洛伐克,03,法学
0707 Marine Science,海洋科学,2,斯洛伐克,07,理学
0904 Plant Protection,植物保护,2,斯洛伐克,09,农学
0907 Forestry,林学,2,斯洛伐克,09,农学
0908 Fisheries,水产,2,斯洛伐克,09,农学
1205 Library and Information Science & Archive Management,图书情报与档案管理,2,斯洛伐克,12,管理学
1302 Music and Dance,音乐与舞蹈学,2,斯洛伐克,13,艺术学
0403 Physical Education and Sport Science,体育学,1,斯洛伐克,04,教育学
0822 Light Industry Technology and Engineering,轻工技术与工程,1,斯洛伐克,08,工学
0829 Forestry Engineering,林业工程,1,斯洛伐克,08,工学
0903 Agricultural Resource and Environment Sciences,农业资源与环境,1,斯洛伐克,09,农学
0909 Grassland Science,草学,1,斯洛伐克,09,农学
1008 Chinese Materia Medica,中药学,1,斯洛伐克,10,医学
0702 Physics,物理学,1051,斯洛文尼亚,07,理学
0704 Astronomy,天文学,285,斯洛文尼亚,07,理学
0703 Chemistry,化学,152,斯洛文尼亚,07,理学
0701 Mathematics,数学,129,斯洛文尼亚,07,理学
0827 Nuclear Science and Technology,核科学与技术,128,斯洛文尼亚,08,工学
1002 Clinical Medicine,临床医学,122,斯洛文尼亚,10,医学
0805 Materials Science and Engineering,材料科学与工程,117,斯洛文尼亚,08,工学
0710 Biology,生物学,109,斯洛文尼亚,07,理学
0804 Instrumentation Science and Technology,仪器科学与技术,97,斯洛文尼亚,08,工学
0812 Computer Science and Technology,计算机科学与技术,92,斯洛文尼亚,08,工学
1001 Basic Medicine,基础医学,79,斯洛文尼亚,10,医学
0803 Optical Engineering,光学工程,53,斯洛文尼亚,08,工学
0830 Environmental Science and Engineering,环境科学与工程,49,斯洛文尼亚,08,工学
1004 Public Health and Preventive Medicine,公共卫生与预防医学,49,斯洛文尼亚,10,医学
0810 Information and Communication Engineering,信息与通信工程,39,斯洛文尼亚,08,工学
0708 Geophysics,地球物理学,30,斯洛文尼亚,07,理学
1400 Cross-field,,30,斯洛文尼亚,14,跨学科
0711 Systems Science,系统科学,27,斯洛文尼亚,07,理学
0802 Mechanical Engineering,机械工程,27,斯洛文尼亚,08,工学
0814 Civil Engineering,土木工程,26,斯洛文尼亚,08,工学
0820 Oil and Natural Gas Engineering,石油与天然气工程,25,斯洛文尼亚,08,工学
1010 Medical Technology,医学技术,25,斯洛文尼亚,10,医学
1009 Special Medicine,特种医学,24,斯洛文尼亚,10,医学
0401 Education,教育学,22,斯洛文尼亚,04,教育学
0713 Ecology,生态学,22,斯洛文尼亚,07,理学
0811 Control Science and Engineering,控制科学与工程,22,斯洛文尼亚,08,工学
1202 Business Administration,工商管理,22,斯洛文尼亚,12,管理学
0706 Atmospheric Science,大气科学,21,斯洛文尼亚,07,理学
0801 Mechanics,力学,21,斯洛文尼亚,08,工学
0835 Software Engineering,软件工程,21,斯洛文尼亚,08,工学
1201 Management Science and Engineering,管理科学与工程,21,斯洛文尼亚,12,管理学
0402 Psychology,心理学,19,斯洛文尼亚,04,教育学
0808 Electrical Engineering,电气工程,18,斯洛文尼亚,08,工学
0806 Metallurgical Engineering,冶金工程,16,斯洛文尼亚,08,工学
0714 Statistics,统计学,15,斯洛文尼亚,07,理学
0831 Biomedical Engineering,生物医学工程,15,斯洛文尼亚,08,工学
0836 Biotechnology and Bioengineering,生物工程,15,斯洛文尼亚,08,工学
0809 Electronic Science and Technology,电子科学与技术,14,斯洛文尼亚,08,工学
0807 Power Engineering and Engineering Thermophysics,动力工程及工程热物理,13,斯洛文尼亚,08,工学
0815 Hydraulic Engineering,水利工程,12,斯洛文尼亚,08,工学
0823 Transportation Engineering,交通运输工程,12,斯洛文尼亚,08,工学
0816 Surveying and Mapping,测绘科学与技术,11,斯洛文尼亚,08,工学
0705 Geography,地理学,10,斯洛文尼亚,07,理学
0832 Food Science and Engineering,食品科学与工程,10,斯洛文尼亚,08,工学
0303 Sociology,社会学,9,斯洛文尼亚,03,法学
0825 Aerospace Science and Technology,航空宇航科学与技术,9,斯洛文尼亚,08,工学
1204 Public Administration,公共管理,9,斯洛文尼亚,12,管理学
1205 Library and Information Science & Archive Management,图书情报与档案管理,9,斯洛文尼亚,12,管理学
0302 Political Science,政治学,8,斯洛文尼亚,03,法学
0503 Journalism and Communication,新闻传播学,8,斯洛文尼亚,05,文学
1007 Pharmaceutical Science,药学,8,斯洛文尼亚,10,医学
0101 Philosophy,哲学,7,斯洛文尼亚,01,哲学
0301 Law,法学,7,斯洛文尼亚,03,法学
0709 Geology,地质学,7,斯洛文尼亚,07,理学
0712 History of Science and Technology,科学技术史,7,斯洛文尼亚,07,理学
0817 Chemical Engineering and Technology,化学工程与技术,7,斯洛文尼亚,08,工学
0901 Crop Science,作物学,7,斯洛文尼亚,09,农学
0813 Architecture,建筑学,6,斯洛文尼亚,08,工学
0839 Cyberspace Security,网络空间安全,6,斯洛文尼亚,08,工学
0907 Forestry,林学,6,斯洛文尼亚,09,农学
0603 World History,世界史,5,斯洛文尼亚,06,历史学
0818 Geological Resources and Geological Engineering,地质资源与地质工程,5,斯洛文尼亚,08,工学
0833 Urban and Rural Planning,城乡规划学,5,斯洛文尼亚,08,工学
0905 Animal Science,畜牧学,5,斯洛文尼亚,09,农学
1003 Stomatology,口腔医学,5,斯洛文尼亚,10,医学
1302 Music and Dance,音乐与舞蹈学,5,斯洛文尼亚,13,艺术学
0403 Physical Education and Sport Science,体育学,4,斯洛文尼亚,04,教育学
0202 Applied Economics,应用经济学,3,斯洛文尼亚,02,经济学
0826 Armament Science and Technology,兵器科学与技术,3,斯洛文尼亚,08,工学
0904 Plant Protection,植物保护,3,斯洛文尼亚,09,农学
0822 Light Industry Technology and Engineering,轻工技术与工程,2,斯洛文尼亚,08,工学
0824 Naval Architecture and Ocean Engineering,船舶与海洋工程,2,斯洛文尼亚,08,工学
0837 Safety Science and Engineering,安全科学与工程,2,斯洛文尼亚,08,工学
0906 Veterinary Medicine,兽医学,2,斯洛文尼亚,09,农学
0908 Fisheries,水产,2,斯洛文尼亚,09,农学
0707 Marine Science,海洋科学,1,斯洛文尼亚,07,理学
0819 Mining Engineering,矿业工程,1,斯洛文尼亚,08,工学
0821 Textile Science and Engineering,纺织科学与工程,1,斯洛文尼亚,08,工学
0829 Forestry Engineering,林业工程,1,斯洛文尼亚,08,工学
0903 Agricultural Resource and Environment Sciences,农业资源与环境,1,斯洛文尼亚,09,农学
0909 Grassland Science,草学,1,斯洛文尼亚,09,农学
1011 Nursing,护理学,1,斯洛文尼亚,10,医学
1203 Economics and Management of Agriculture and Forestry,农林经济管理,1,斯洛文尼亚,12,管理学
1305 Design,设计学,1,斯洛文尼亚,13,艺术学
0702 Physics,物理学,2899,波兰,07,理学
0704 Astronomy,天文学,1138,波兰,07,理学
1002 Clinical Medicine,临床医学,696,波兰,10,医学
0703 Chemistry,化学,657,波兰,07,理学
0805 Materials Science and Engineering,材料科学与工程,626,波兰,08,工学
0710 Biology,生物学,509,波兰,07,理学
0812 Computer Science and Technology,计算机科学与技术,424,波兰,08,工学
1001 Basic Medicine,基础医学,342,波兰,10,医学
0701 Mathematics,数学,334,波兰,07,理学
0830 Environmental Science and Engineering,环境科学与工程,334,波兰,08,工学
0804 Instrumentation Science and Technology,仪器科学与技术,282,波兰,08,工学
0820 Oil and Natural Gas Engineering,石油与天然气工程,270,波兰,08,工学
0827 Nuclear Science and Technology,核科学与技术,206,波兰,08,工学
1004 Public Health and Preventive Medicine,公共卫生与预防医学,204,波兰,10,医学
0708 Geophysics,地球物理学,170,波兰,07,理学
1201 Management Science and Engineering,管理科学与工程,151,波兰,12,管理学
0811 Control Science and Engineering,控制科学与工程,143,波兰,08,工学
0814 Civil Engineering,土木工程,138,波兰,08,工学
0803 Optical Engineering,光学工程,133,波兰,08,工学
0802 Mechanical Engineering,机械工程,131,波兰,08,工学
0801 Mechanics,力学,123,波兰,08,工学
0817 Chemical Engineering and Technology,化学工程与技术,119,波兰,08,工学
0810 Information and Communication Engineering,信息与通信工程,118,波兰,08,工学
0402 Psychology,心理学,113,波兰,04,教育学
0806 Metallurgical Engineering,冶金工程,111,波兰,08,工学
0709 Geology,地质学,110,波兰,07,理学
0836 Biotechnology and Bioengineering,生物工程,107,波兰,08,工学
0831 Biomedical Engineering,生物医学工程,100,波兰,08,工学
0835 Software Engineering,软件工程,99,波兰,08,工学
1010 Medical Technology,医学技术,99,波兰,10,医学
0714 Statistics,统计学,98,波兰,07,理学
1400 Cross-field,,98,波兰,14,跨学科
0713 Ecology,生态学,96,波兰,07,理学
0832 Food Science and Engineering,食品科学与工程,95,波兰,08,工学
0807 Power Engineering and Engineering Thermophysics,动力工程及工程热物理,94,波兰,08,工学
